concept,question
a helmet,"What type of helmet is depicted in the image (e.g., sports, construction, military)?"
a helmet,What color is the helmet?
a helmet,Does the helmet have any logos or graphics on it?
a helmet,Is there a visor attached to the helmet?
a bin,What shape is the bin?
a bin,Does the bin have a lid?
a bin,What material is the bin made from?
a telescope,Is the telescope stationary or portable?
a teapot,"What material is the teapot made of (ceramic, metal, glass, etc.)?"
a teapot,Does the teapot have a lid?
a teapot,Does the teapot have any decorative designs?
a teapot,"Is the teapot shown as being used (e.g., tea being poured)?"
a teapot,What is the shape of the teapot?
a rug,What material is the rug made of?
a rug,What is the dominant color of the rug?
a rug,Does the rug feature any patterns or designs?
a parachute,Is the parachute open or closed?
a table,What is the shape of the table?
a table,What is the color of the table?
a table,"If visible, how many legs does the table have?"
a chair,"What type of chair is depicted? (e.g., office chair, dining chair, lounge chair)"
a chair,Is the chair designed for indoor or outdoor use?
a chair,What color is the chair?
a chair,"If visible, how many legs does the chair have?"
a chair,Does the chair appear to be antique or modern?
a spinning wheel,Does the spinning wheel have a solid color?
a spinning wheel,Does the spinning wheel appear to be antique or modern?
a ring,Is there a gemstone on the ring?
a ring,What is the dominant color of the ring?
an ice cream,In what is the ice cream served?
an ice cream,What is the flavor of the ice cream?
an ice cream,Is the ice cream in the shape of a scoop?
an ice cream,What is the color of the ice cream?
a cake,Does the cake have multiple tiers?
a cake,Is the cake eaten?
a cake,In what flavor is the cake?
a cake,What is the shape of the cake?
a cake,Does the cake show any signs of fruit on the outside or suggest a fruit flavor?
a suitcase,Is this a vintage suitcase?
a suitcase,Is the suitcase open or closed?
a suitcase,Is the suitcase soft shell or hard shell?
a suitcase,Is the suitcase dirty or clean?
a suitcase,What is the color of the suitcase?
a clock,Is this a classic clock?
a clock,Is the clock round?
a clock,Is the clock analog or digital?
a clock,What is the shape of the clock?
a clock,Is the clock broken?
a book,Is the book open or closed?
a book,Is the book dirty or clean?
a book,Does the book appear new or worn?
a bottle,Does the bottle appear dirty or clean?
a bottle,Does the bottle appear empty?
a bottle,What is the color of the bottle?
a bottle,Does the bottle appear opaque or transparent?
a bottle,Is the bottle open or closed?
a lantern,Is the lantern lit or not?
a lantern,What shape does the lantern have?
a lantern,What type of light source does the lantern use?
a guitar,Is the guitar acoustic or electric?
a guitar,What color is the guitar?
a guitar,Are there any visible patterns or designs on the guitar?
a guitar,Does the guitar appear new or worn?
a guitar,Does the guitar appear clean or dirty?
a uniform,What is the primary color of the uniform?
a uniform,Does the uniform have any logos or badges?
a uniform,"Are there any distinguishing features such as stripes, stars, or specific patterns?"
a baseball bat,What material is the baseball bat made from?
a baseball bat,What color is the baseball bat?
a baseball bat,Does the baseball bat appear new or worn?
a baseball bat,Is the baseball bat dirty?
yogurt,Does the yogurt contain fruit?
yogurt,"Is the yogurt in a cup, bowl, or different type of container?"
yogurt,What is the color of the yogurt?
yogurt,Is the yogurt eaten?
yogurt,Does the yogurt contain nuts?
a pair of headphones,"Are the headphones over-ear, on-ear, or in-ear?"
a pair of headphones,What color are the headphones?
an umbrella,Is the umbrella open or closed?
an umbrella,Is the umbrella being used for protection against sun or rain (or neither)?
an umbrella,What color is the umbrella?
a jewelry box,What is the shape of the jewelry box?
a jewelry box,Is the jewelry box open or closed in the image?
a jewelry box,Does the jewelry box appear to be modern or antique?
a jewelry box,Does the jewelry box have any locking mechanism visible?
a jewelry box,What color is the jewelry box?
a window,What is the shape of the window?
a window,Is the window open or closed?
a window,Is the glass clear or tinted?
a drawer,Is the drawer open or closed?
a drawer,What material is the drawer made of?
a drawer,Is the drawer part of a larger furniture piece?
a drawer,What color is the drawer?
a cookie jar,What material is the cookie jar made of?
a cookie jar,What shape is the cookie jar?
a cookie jar,Are there visible cookies in the jar?
a cookie jar,Is the cookie jar transparent or opaque?
a cookie jar,What color is the cookie jar?
a toolbox,Is the toolbox open or closed in the image?
a toolbox,"Does the toolbox appear to be new or used, based on its condition?"
a toolbox,Is the toolbox portable or part of a larger storage unit?
a toolbox,What color is the toolbox?
a person,Does the person appear to be alone or with others?
a person,Is the person male or female?
a person,Is the image shows the person from up-close?
a balloon,What is the shape of the balloon?
a balloon,What color is the balloon?
a balloon,Is the balloon floating or lying on the ground?
a balloon,Is the balloon used in a celebration or decoration setting?
a flower,What color is the flower?
a flower,Is the flower part of a bouquet or is it a single flower?
a flower,Is the flower fully bloomed or still in bud form?
a flower,What is the shape of the flower?
a flower,"Is the flower growing alone, or is it part of a cluster?"
a spacesuit,Does the spacesuit show any signs of wear or damage?
a spacesuit,What color is the spacesuit?
a spacesuit,Is the spacesuit in use?
a spacesuit,Can you identify any tools or equipment attached to the spacesuit?
a car,What color is the car?
a car,Does the car appear parked?
a car,"Is the car a sedan, SUV, coupe, or another type?"
a car,Is this a vintage car?
a car,Does the car appear to be new or used?
a sandcastle,Is the sandcastle intact or partially destroyed?
a sandcastle,Does the sandcastle have towers?
a sandcastle,Is there a moat around the sandcastle?
a sandcastle,What is the color of the sandcastle?
a sandwich,Does the sandwich contain meat?
a sandwich,Are there any vegetables in the sandwich?
a sandwich,What type of bread is used in the sandwich?
a sandwich,Is the sandwich open-faced or closed?
a sandwich,Is the sandwich eaten?
a pair of shoes,"What type of shoes are depicted in the image? (e.g., are they sneakers, formal dress shoes, sandals, boots, or loafers?)"
a pair of shoes,What is the primary color of the shoes?
a pair of shoes,"Do the shoes have laces, buckles, or are they slip-ons?"
a pair of shoes,Are the shoes new or do they show signs of wear?
a pair of shoes,"Are the shoes designed for a specific activity (like running, hiking, formal wear)?"
a torch,Is the torch lit?
a torch,What type of torch is it (flame or electric)?
a torch,What is the primary color of the torch?
a torch,What is the primary material used in the torch's construction?
a torch,Is the torch being held by someone or resting?
a neon sign,What color is the neon sign?
a neon sign,Is the neon sign turned on?
a neon sign,"Where is the neon sign located (e.g., indoors, outdoors, above a door)?"
a box,"What material is the box made of (e.g., cardboard, plastic, metal)?"
a box,"What is the shape of the box (e.g., rectangular, square, cylindrical)?"
a box,Is the box open or closed?
a box,What is the color of the box?
a box,Are there any visible signs of wear or damage on the box?
an apple,What color is the apple?
an apple,Is the apple whole or cut into pieces?
an apple,Is the apple eaten?
an apple,Are there any visible seeds in the apple?
an apple,"Is the apple depicted as freshly picked, or does it look aged?"
a bag,"What type of bag is shown in the image (e.g., backpack, handbag, tote)?"
a bag,"Does the bag have a zipper, snaps, or another type of closure?"
a bag,What color is the bag?
a bag,Does the bag appear damaged?
a bear,What color is the bear?
a bear,Is the bear sitting or standing?
a bear,What species of bear is depicted in the image?
a bear,Is the bear alone or with other bears in the image?
a bell,What material is the bell made of?
a bell,Is the bell hanging or standing on a surface?
a bell,"What is the primary use of the bell (e.g., religious, school, decorative)?"
a bell,Does the bell appear to be traditional or modern in design?
a bell,What is the color of the bell?
hiking boots,What color are the hiking boots?
hiking boots,Are the hiking boots worn by someone?
hiking boots,Do the hiking boots appear worn or new?
a clown,What color is the clown's hair?
a clown,"Does the clown wear makeup, and if so, what colors are used?"
a clown,"Is the clown holding any props, such as balloons or juggling items?"
